functional_size,work_effort,platform_MF,platform_MR,platform_Multi,platform_PC,platform_Proprietary,platform_Unknown,language_type_3GL,language_type_4GL,language_type_5GL,language_type_APG,language_type_ApG,language_type_Unknown,development_type_New Development,development_type_Not Defined,development_type_Other,development_type_POC,development_type_Porting,development_type_Re-development,industry_sector_Communication,industry_sector_Construction,industry_sector_Defence,industry_sector_Education,industry_sector_Electronics & Computers,industry_sector_Financial,industry_sector_Government,industry_sector_Insurance,industry_sector_Logistics,industry_sector_Manufacturing,industry_sector_Medical & Health Care,industry_sector_Mining,industry_sector_Professional Services,industry_sector_Service Industry,industry_sector_Unknown,industry_sector_Utilities,industry_sector_Wholesale & Retail,work_effort_log,work_effort_winsorized,functional_size_log,functional_size_squared,functional_size_sqrt
150.0,271.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.605802066295998,271.0,5.017279836814924,22500.0,12.24744871391589
730.0,20975.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,9.95113420600348,16268.0,6.594413459749778,532900.0,27.018512172212592
179.0,789.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,6.672032945461067,789.0,5.19295685089021,32041.0,13.379088160259652
198.0,2560.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,7.848153086199526,2560.0,5.293304824724492,39204.0,14.071247279470288
114.0,7290.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.89439598980643,7290.0,4.74493212836325,12996.0,10.677078252031311
568.0,5873.0,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8.678291111758565,5873.0,6.343880434126331,322624.0,23.83275057562597
401.0,4321.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,8.371473537066832,4321.0,5.996452088619021,160801.0,20.024984394500787
849.0,1874.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,7.536363938404511,1874.0,6.745236349484363,720801.0,29.13760456866693
34.0,3444.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,8.144679183447758,3444.0,3.5553480614894135,1156.0,5.830951894845301
108.0,1276.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.152268856032539,1276.0,4.6913478822291435,11664.0,10.392304845413264
150.0,60838.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,11.01598630968325,16268.0,5.017279836814924,22500.0,12.24744871391589
949.0,366.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.905361848054571,366.0,6.856461984594587,900601.0,30.805843601498726
460.0,1667.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7.419380582918692,1667.0,6.133398042996649,211600.0,21.447610589527216
1502.0,7490.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,8.921457578947884,7490.0,7.315218389752975,2256004.0,38.7556447501522
66.0,507.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,6.230481447578482,507.0,4.204692619390966,4356.0,8.12403840463596
46.0,1009.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,6.917705609835305,1009.0,3.8501476017100584,2116.0,6.782329983125268
416.0,9205.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,9.127610724377186,9205.0,6.0330862217988015,173056.0,20.396078054371138
150.0,2525.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,7.8343923029104365,2525.0,5.017279836814924,22500.0,12.24744871391589
400.0,150.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,5.017279836814924,150.0,5.993961427306569,160000.0,20.0
22.0,134.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,4.90527477843843,134.0,3.1354942159291497,484.0,4.69041575982343
7.0,396.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,5.983936280687191,396.0,2.0794415416798357,49.0,2.6457513110645907
779.0,25040.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.128269760518846,16268.0,6.659293919683638,606841.0,27.910571473905726
260.0,3202.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,8.071843149609158,3202.0,5.564520407322694,67600.0,16.1245154965971
150.0,7781.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.9595686535445,7781.0,5.017279836814924,22500.0,12.24744871391589
83.0,855.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,6.752270376141742,855.0,4.430816798843313,6889.0,9.1104335791443
80.0,2879.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7.965545573129992,2879.0,4.394449154672439,6400.0,8.94427190999916
243.0,2924.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,7.981049759665957,2924.0,5.497168225293202,59049.0,15.588457268119896
99.0,800.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6.68586094706836,800.0,4.605170185988092,9801.0,9.9498743710662
244.0,468.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.150602768446279,468.0,5.501258210544727,59536.0,15.620499351813308
174.0,1876.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.537430036586509,1876.0,5.1647859739235145,30276.0,13.19090595827292
152.0,2389.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,7.779048644925556,2389.0,5.030437921392435,23104.0,12.328828005937952
4.0,109.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.700480365792417,109.0,1.6094379124341003,16.0,2.0
55.0,648.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6.47543271670409,648.0,4.02535169073515,3025.0,7.416198487095663
68.0,12702.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,9.44959346502346,12702.0,4.23410650459726,4624.0,8.246211251235321
140.0,1000.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,6.90875477931522,1000.0,4.948759890378168,19600.0,11.832159566199232
135.0,499.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6.214608098422191,499.0,4.912654885736052,18225.0,11.61895003862225
25.0,118.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4.77912349311153,118.0,3.258096538021482,625.0,5.0
582.0,2632.0,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7.87587915949631,2632.0,6.368187186350492,338724.0,24.124676163629637
150.0,81.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4.406719247264253,81.0,5.017279836814924,22500.0,12.24744871391589
826.0,2503.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,7.825644732219989,2503.0,6.717804695023691,682276.0,28.74021572639983
309.0,2340.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,7.75833346749091,2340.0,5.736572297479192,95481.0,17.578395831246947
338.0,646.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.472346294500901,646.0,5.82600010738045,114244.0,18.384776310850235
13.0,2565.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,7.850103545175582,2565.0,2.6390573296152584,169.0,3.605551275463989
250.0,4150.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,8.33110454805304,4150.0,5.5254529391317835,62500.0,15.811388300841896
69.0,2915.0,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7.977968093128549,2915.0,4.248495242049359,4761.0,8.306623862918075
90.0,1112.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,7.014814351275545,1112.0,4.51085950651685,8100.0,9.486832980505138
80.0,2879.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7.965545573129992,2879.0,4.394449154672439,6400.0,8.94427190999916
71.0,2035.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,7.618742377670413,2035.0,4.276666119016055,5041.0,8.426149773176359
261.0,2175.0,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,7.685243607975833,2175.0,5.568344503761097,68121.0,16.15549442140351
163.0,668.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,6.505784060128229,668.0,5.099866427824199,26569.0,12.767145334803704
40.0,514.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6.244166900663736,514.0,3.713572066704308,1600.0,6.324555320336759
16.0,536.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,6.285998094508865,536.0,2.833213344056216,256.0,4.0
442.0,3772.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,8.235625719964311,3772.0,6.093569770045136,195364.0,21.02379604162864
150.0,263.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,5.575949103146316,263.0,5.017279836814924,22500.0,12.24744871391589
171.0,420.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6.042632833682381,420.0,5.147494476813453,29241.0,13.076696830622021
226.0,3238.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.08301991917133,3238.0,5.424950017481403,51076.0,15.033296378372908
150.0,292.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,5.680172609017068,292.0,5.017279836814924,22500.0,12.24744871391589
215.0,2704.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,7.902857191280582,2704.0,5.375278407684165,46225.0,14.66287829861518
302.0,4372.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.38320455141292,4372.0,5.713732805509369,91204.0,17.378147196982766
16.0,598.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6.395261598115449,598.0,2.833213344056216,256.0,4.0
40.0,120.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.795790545596741,120.0,3.713572066704308,1600.0,6.324555320336759
63.0,119.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.787491742782046,119.0,4.1588830833596715,3969.0,7.937253933193772
307.0,2994.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.00469951054955,2994.0,5.730099782973574,94249.0,17.52141546793523
166.0,946.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,6.853299093186078,946.0,5.117993812416755,27556.0,12.884098726725126
87.0,1333.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.195937226475569,1333.0,4.477336814478207,7569.0,9.327379053088816
271.0,2536.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,7.838737559599282,2536.0,5.605802066295998,73441.0,16.46207763315433
459.0,3876.0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,8.262816937670928,3876.0,6.131226489483141,210681.0,21.42428528562855
26.0,40.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.713572066704308,40.0,3.295836866004329,676.0,5.0990195135927845
224.0,7780.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,8.95944014361693,7780.0,5.41610040220442,50176.0,14.966629547095765
694.0,6337.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8.754318540250866,6337.0,6.543911845564792,481636.0,26.343879744638983
1053.0,757.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,6.630683385642372,757.0,6.960347729101308,1108809.0,32.449961479175904
745.0,15112.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,9.62331057957012,15112.0,6.61472560020376,555025.0,27.294688127912362
221.0,20000.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,9.90353755128617,16268.0,5.402677381872279,48841.0,14.866068747318506
77.0,1607.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.382746449738912,1607.0,4.356708826689592,5929.0,8.774964387392123
647.0,6006.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,8.700680734850161,6006.0,6.473890696352274,418609.0,25.436194683953808
44.0,362.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,5.8944028342648505,362.0,3.8066624897703196,1936.0,6.6332495807108
34.0,344.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5.84354441703136,344.0,3.5553480614894135,1156.0,5.830951894845301
120.0,1158.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,7.055312843339752,1158.0,4.795790545596741,14400.0,10.954451150103322
150.0,71.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4.276666119016055,71.0,5.017279836814924,22500.0,12.24744871391589
1282.0,8429.0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,9.039552050995901,8429.0,7.1569563646156364,1643524.0,35.805027579936315
1286.0,19344.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.870189267134613,16268.0,7.160069207596127,1653796.0,35.86084215408221
270.0,1659.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,7.414572881350589,1659.0,5.602118820879701,72900.0,16.431676725154983
275.0,1888.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7.543802867501509,1888.0,5.62040086571715,75625.0,16.583123951777
68.0,2520.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,7.83241092718792,2520.0,4.23410650459726,4624.0,8.246211251235321
127.0,586.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.375024819828097,586.0,4.852030263919617,16129.0,11.269427669584644
50.0,253.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,5.537334267018537,253.0,3.9318256327243257,2500.0,7.0710678118654755
191.0,737.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.6039438246004725,737.0,5.2574953720277815,36481.0,13.820274961085254
19.0,3614.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,8.192847134592865,3614.0,2.995732273553991,361.0,4.358898943540674
21.0,683.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,6.52795791762255,683.0,3.091042453358316,441.0,4.58257569495584
12.0,343.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,5.840641657373398,343.0,2.5649493574615367,144.0,3.4641016151377544
702.0,4805.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,8.477620416296414,4805.0,6.555356891810665,492804.0,26.49528259898354
2780.0,801.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,6.687108607866515,801.0,7.930565854233965,7728400.0,52.72570530585627
292.0,3570.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,8.18060094759445,3570.0,5.680172609017068,85264.0,17.08800749063506
4167.0,11934.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9.387230538772931,11934.0,8.335191583433202,17363889.0,64.55230437405004
287.0,1960.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,7.581209826196346,1960.0,5.662960480135946,82369.0,16.941074346097416
163.0,5402.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,8.594709633844065,5402.0,5.099866427824199,26569.0,12.767145334803704
111.0,1297.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,7.168579897264035,1297.0,4.718498871295094,12321.0,10.535653752852738
139.0,5062.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8.529714471969909,5062.0,4.941642422609304,19321.0,11.789826122551595
154.0,2408.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.786967002614872,2408.0,5.043425116919247,23716.0,12.409673645990857
212.0,756.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6.6293632534374485,756.0,5.3612921657094255,44944.0,14.560219778561036
3.0,65.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.189654742026425,65.0,1.3862943611198906,9.0,1.7320508075688772
115.0,1243.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.126087273299125,1243.0,4.7535901911063645,13225.0,10.723805294763608
72.0,876.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6.776506992372183,876.0,4.290459441148391,5184.0,8.48528137423857
46.0,3372.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.12355783506165,3372.0,3.8501476017100584,2116.0,6.782329983125268
41.0,875.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,6.775366090936392,875.0,3.7376696182833684,1681.0,6.4031242374328485
203.0,1822.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7.508238774678663,1822.0,5.318119993844216,41209.0,14.247806848775006
90.0,2006.0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7.604396348796338,2006.0,4.51085950651685,8100.0,9.486832980505138
